Date,JPM,V,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,V_ret,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2021-03-29,134.4540557861328,206.765625,14.783361975904782,13.519973709221276,4.612167907789931,0.2739250374102056,0.0,-0.015539397110986952,0.004589550426894906,-1.0,-0.5382568170927516,0.4617431829072485,0.010483380050727912,1.0,0.0005,0.009983380050727911,-0.005474923342046023,1.2509983713119361,1.1502725312358413
2021-03-30,136.03924560546875,204.24984741210938,18.526709600270735,13.876798504198689,4.713668876598243,0.9864738524925387,0.0,0.011789825231136142,-0.012167291288823434,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.00018873302884364618,1.2509983713119361,1.1500554368170255
2021-03-31,134.0577850341797,204.08599853515625,16.685806657900812,13.975849680471725,4.752636702198207,0.5702007427110235,0.0,-0.01456535988912755,-0.0008021982832747687,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.007683779086201159,1.2509983713119361,1.1412186649036389
2021-04-01,135.3611602783203,209.03079223632812,13.747294554044558,13.892946375154585,4.740835111210361,-0.030722819438628687,0.0,0.009722488282260633,0.024228970809675898,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.016975729545968266,1.2509983713119361,1.160591684311854
2021-04-05,136.07862854003906,211.13209533691406,12.66216162037476,13.902030826624355,4.73815937979507,-0.26167739555928987,0.0,0.005300399761966723,0.010052600758505559,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.007676500260236141,1.2509983713119361,1.169500966678502
2021-04-06,135.12196350097656,210.75616455078125,12.027988507525762,13.992273701225646,4.681249198572712,-0.41960705580441715,0.0,-0.007030237218925373,-0.001780547791812137,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.004405392505368755,1.2509983713119361,1.164348855884875
2021-04-07,137.239013671875,211.35379028320312,13.632365918669464,14.214012947514016,4.545239711711222,-0.1279683945702326,0.0,0.015667698396664598,0.002835626344290798,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.009251662370477698,1.2509983713119361,1.1751210183809737
2021-04-08,137.40733337402344,212.73216247558594,12.618250130675264,14.355919847185078,4.44267053347014,-0.3911317986374586,0.0,0.0012264712317946458,0.006521634603930515,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0038740529178625804,1.2509983713119361,1.1796734993910742
2021-04-09,138.43490600585938,214.48646545410156,12.140895346155062,14.632828044260828,4.09280464533544,-0.608856985379406,0.0,0.00747829541993128,0.008246533848481619,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.00786241463420645,1.2509983713119361,1.188948581576272
2021-04-12,138.14259338378906,213.474365234375,12.716812093480982,14.78395149130279,3.9543158674161507,-0.5227552545448346,0.0,-0.0021115528626713953,-0.004718713684724984,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.00341513327369819,1.2509983713119361,1.1848881637146145
2021-04-13,136.4949493408203,213.04058837890625,11.441283181347856,14.860576092152854,3.868798822390178,-0.8838125391830348,0.0,-0.011927125462247945,-0.002031985690612137,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.006979555576430041,1.2509983713119361,1.1766181709241141
2021-04-14,133.94381713867188,213.96597290039062,8.096310602646113,14.91097168262311,3.7674662403436883,-1.8088180876055646,1.0,-0.01869030476562472,0.004343700552678298,0.0,0.0,-0.0,-0.0,1.0,0.0005,-0.0005,-0.007173302106473212,1.2503728721262803,1.1681779333201094
